Start: Sun Jun 09 18:33:12 PDT 2024

Start: Sun Jun 09 18:33:12 PDT 2024

Parameter Sweeps

Number of parameters swept: 6

Table of parameters swept 
public	boolean	groups	true	true	true	false	false	false	
public	int	memorySize	1	2	3	1	2	3	

Parameter values for the class class evolutionaryGames.Environment
id  0
_cooperators  100
_defectors  100
_walkawayCooperators  100
_walkawayDefectors  100
_tftMobile  100
_tftStationary  100
_pavlovMobile  100
_pavlovStationary  100
memorySize  1
active  1.0
groups  true
averageAge  50.0
sdAge  10.0
mutationRate  0.01
resoucesToReproduce  30.0
minResourcesStart  30.0
maxResourcesStart  30.0
carryingCapacity  2000.0
searchRadiusPlayer  1
cooperate_cooperator  3.0
defect_defector  0.0
cooperate_defector  -1.0
defect_cooperator  5.0
reproductionRadius  1
lowerBoundsSurvival  0.0
useLowerBoundsSurvival  true
localReproduction  true
mutationRange  true
charts  true
nameSpace  SPARSE
gridWidth  100
gridHeight  100
paramSweeps  true
simLength  5001
simNumber  10
fileDataName  results.txt
folderDataName  data
dataSamplingInterval  50
burnIn  0
scheduleTimeInterval  1.0
closeProgramAtend  true
customSweepOnly  false

Sweep Number:	1
groups	true
memorySize	1
Step	Reps	N	Coop	Def	WCoop	WDef	TFTM	TFTS	PAVLOVM	PAVLOVS
2100.000	10.000	115.089	0.019	0.030	0.015	0.059	0.086	0.007	0.069	0.008
2150.000	10.000	190.689	0.016	0.067	0.017	0.029	0.085	0.007	0.070	0.007
2200.000	9.000	0.242	0.011	0.004	0.019	0.010	0.081	0.004	0.071	0.005
2250.000	9.000	0.111	0.006	0.005	0.020	0.015	0.081	0.004	0.071	0.004
2300.000	9.000	0.000	0.005	0.006	0.022	0.017	0.082	0.005	0.071	0.004
2350.000	9.000	0.000	0.007	0.004	0.019	0.012	0.083	0.006	0.076	0.004
2400.000	9.000	0.147	0.006	0.004	0.018	0.010	0.081	0.006	0.078	0.005
2450.000	9.000	0.111	0.007	0.004	0.018	0.011	0.080	0.006	0.082	0.004
2500.000	9.000	0.147	0.007	0.007	0.015	0.014	0.080	0.007	0.084	0.004
2550.000	9.000	0.167	0.009	0.008	0.013	0.020	0.078	0.008	0.083	0.006
2600.000	9.000	0.236	0.010	0.009	0.016	0.027	0.079	0.008	0.082	0.006
2650.000	9.000	0.242	0.009	0.010	0.025	0.025	0.079	0.007	0.083	0.008
2700.000	9.000	0.147	0.010	0.013	0.027	0.046	0.078	0.008	0.088	0.008
2750.000	9.000	26.292	0.010	0.018	0.028	0.065	0.081	0.006	0.087	0.009
2800.000	9.000	152.986	0.010	0.036	0.026	0.055	0.081	0.008	0.085	0.009
2850.000	9.000	54.653	0.011	0.005	0.031	0.034	0.077	0.009	0.082	0.008
2900.000	9.000	0.147	0.011	0.010	0.028	0.069	0.075	0.010	0.082	0.007
2950.000	9.000	135.696	0.012	0.022	0.017	0.086	0.072	0.011	0.088	0.008
3000.000	9.000	212.681	0.013	0.026	0.072	0.065	0.069	0.012	0.090	0.012
3050.000	9.000	116.000	0.012	0.039	0.103	0.060	0.074	0.012	0.091	0.042
3100.000	9.000	212.764	0.013	0.052	0.099	0.047	0.073	0.011	0.093	0.045
3150.000	9.000	221.181	0.013	0.072	0.092	0.024	0.073	0.012	0.090	0.039
3200.000	8.000	0.125	0.012	0.013	0.081	0.020	0.080	0.011	0.096	0.044
